period,product_name,product_type,fund_name,fund_abn,fund_type,total_assets_aud_m,return_target_above_cpi_pct,risk_level_label,statement_fee_aud,property_benchmark_pct,infrastructure_benchmark_pct,commodities_benchmark_pct,other_investments_benchmark_pct
2018-09-30,Balanced (MySuper),Generic,TWU Superannuation Fund,77343563307,Industry,4932.2,4.51,Medium to high,738.00,9.0,8.0,,6.0
2018-09-30,UniSuper Balanced,Generic,Unisuper,91385943850,Industry,18577.2,4.60,High,361.00,9.0,2.5,,
2018-09-30,Balanced,Generic,United Technologies Corporation Retirement Plan,33227241196,Retail,51.7,2.60,High,600.00,10.0,,,20.0
2018-09-30,Growth (MySuper),Generic,Victorian Superannuation Fund,85977964496,Public Sector,12345.1,3.50,Medium to high,563.00,8.0,6.0,,7.0
2018-09-30,My WA Super,Generic,WA Local Government Superannuation Plan,18159499614,Public Sector,1667.1,2.50,High,553.00,10.0,8.0,0.0,12.0
2018-09-30,BT Business MySuper,Generic,Westpac Mastertrust - Superannuation Division,81236903448,Retail,4378.3,,,,,,,
2018-06-30,AMG MySuper,Generic,AMG Super,30099320583,Retail,163.4,2.42,High,560.00,10.0,,,
2018-06-30,AMP MySuper No.1,Generic,AMP Retirement Trust,73310248809,Retail,936.7,4.00,Medium to high,445.60,6.0,6.0,,0.0
2018-06-30,AMP MySuper No.3,Generic,AMP Super Fund,78421957449,Retail,1244.5,,,,,,,
2018-06-30,AFLPA & AFL Industry MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,129.2,,,,,,,
2018-06-30,AMP MySuper No.2,Generic,AMP Superannuation Savings Trust,76514770399,Retail,14468.3,,,,,,,
2018-06-30,Anglican National MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,140.7,,,,,,,
2018-06-30,Australia Post MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,218.3,,,,,,,
2018-06-30,Brookfield Australia MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,119.7,4.00,Medium to high,255.00,8.0,3.0,,8.0
2018-06-30,CCA MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,370.2,,,,,,,
2018-06-30,Macquarie Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,375.2,3.50,Medium to high,580.00,,,,12.5
2018-06-30,Water Corporation MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,310.8,,,,,,,
2018-06-30,Woolworths Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,2980.3,4.50,Medium to high,575.50,6.5,3.0,,6.5
2018-06-30,ANZ Staff MySuper,Generic,ANZ Australian Staff Superannuation Scheme,83810127567,Corporate,2148.9,3.60,Medium to high,410.00,9.5,6.0,,16.0
2018-06-30,Asgard Employee MySuper,Generic,ASGARD Independence Plan Division Two,90194410365,Retail,2550.4,,,,,,,
2018-06-30,BALANCED,Generic,Australia Post Superannuation Scheme,42045077895,Public Sector,950.5,3.00,High,713.00,,,,30.0
2018-06-30,LifetimeOne,Generic,Australian Catholic Superannuation and Retirement Fund,24680629023,Industry,4395.9,,,,,,,
2018-06-30,ADF MySuper,Generic,Australian Defence Force Superannuation Scheme,90302247344,Public Sector,116.9,3.50,Medium to high,540.00,10.0,1.0,,15.0
2018-06-30,Balanced (accumulation),Generic,Australian Ethical Retail Superannuation Fund,49633667743,Retail,806.7,3.50,Medium to high,622.00,10.0,,,
2018-06-30,AMIST MySuper,Generic,Australian Meat Industry Superannuation Trust,28342064803,Industry,1807.2,2.00,Medium to high,379.00,15.0,10.0,,5.0
2018-06-30,QSuper Lifetime,Generic,Australian Retirement Trust,60905115063,Public Sector,38490.1,,,,,,,
2018-06-30,AustralianSuper MySuper,Generic,AustralianSuper,65714394898,Industry,97302.9,3.86,High,453.00,7.0,13.0,,0.0
2018-06-30,MySuper (Balanced),Generic,Austsafe Superannuation Fund,92398191503,Industry,2191.5,4.40,Medium to high,509.60,10.0,9.0,,10.0
2018-06-30,AvSuper Growth (MySuper),Generic,AvSuper Fund,84421446069,Public Sector,710.9,3.50,Medium to high,560.00,10.0,8.0,,1.0
2018-06-30,MySuper Lifecycle,Generic,Aware Super,53226460365,Public Sector,49724.5,,,,,,,
2018-06-30,BOC MySuper,Generic,Boc Gases Superannuation Fund,49620344668,Corporate,442.8,3.60,High,636.00,11.0,7.4,,7.4
2018-06-30,BUSSQ MySuper,Generic,Building Unions Superannuation Scheme (Queensland),85571332201,Industry,3440.1,4.00,Medium,553.00,13.0,12.5,4.0,
2018-06-30,CareSuper,Generic,Care Super,98172275725,Industry,11044.4,5.00,Medium to high,608.00,12.0,7.0,,
2018-06-30,Growth MySuper,Generic,CBH Superannuation Fund,84433159328,Corporate,12.6,3.75,High,370.00,15.0,,,0.0
2018-06-30,My Ethical Super,Generic,Christian Super,66628776348,Industry,870.7,3.32,High,711.00,10.0,3.6,,0.0
2018-06-30,Club Plus Super _ MySuper,Generic,Club Plus Superannuation Scheme,95275115088,Industry,2216.6,2.72,High,710.00,11.0,6.0,,16.0
2018-06-30,Club MySuper,Generic,Club Super,12737334298,Industry,466.3,3.71,High,821.00,11.0,10.0,,10.0
2018-06-30,FirstChoice Employer Super,Generic,Colonial First State FirstChoice Superannuation Trust,26458298557,Retail,9044.6,,,,,,,
2018-06-30,Combined Fund MySuper,Generic,Combined Super Fund,46921400504,Industry,406.9,3.20,Medium to high,525.00,10.0,7.0,,25.0
2018-06-30,Accumulate Plus Balanced,Generic,Commonwealth Bank Group Super,24248426878,Corporate,5628.9,2.70,High,403.00,8.1,7.2,,2.7
2018-06-30,Growth (Cbus MySuper),Generic,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Industry,40253.9,4.75,Medium to high,558.00,13.0,11.0,,5.0
2018-06-30,Active Balanced,Generic,DuluxGroup Employees Superannuation Fund,91132102426,Retail,44.3,2.70,High,596.00,13.0,3.4,,8.4
2018-06-30,Balanced (MySuper),Generic,Energy Industries Superannuation Scheme-Pool A,22277243559,Public Sector,1350.8,2.50,Medium,370.00,5.0,4.0,,25.0
2018-06-30,MySuper,Generic,Energy Super,33761363685,Industry,2126.5,3.91,Medium to high,567.00,10.0,8.0,,10.0
2018-06-30,Equipsuper MySuper,Generic,equipsuper,33813823017,Industry,2501.1,3.72,Medium,463.00,10.0,3.0,,2.0
2018-06-30,RT Growth (MySuper),Large employer,equipsuper,33813823017,Industry,3141.6,4.20,High,665.50,10.0,6.0,,3.0
2018-06-30,Essential Super,Generic,Essential Super,56601925435,Retail,3153.6,,,,,,,
2018-06-30,First Super MySuper,Generic,First Super,56286625181,Industry,2614.5,3.50,Medium,566.03,10.0,10.0,,2.0
2018-06-30,Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Generic,Goldman Sachs & JBWere Superannuation Fund,55697537183,Corporate,411.8,4.00,Very high,750.00,,,,0.0
2018-06-30,Guild Retirement Fund (MySuper),Generic,Guild Retirement Fund,22599554834,Retail,1236.6,,,,,,,
2018-06-30,HESTA MySuper,Generic,HESTA,64971749321,Industry,37440.5,5.03,Medium to high,630.00,11.5,12.5,0.0,0.0
2018-06-30,Balanced option,Generic,HOSTPLUS Superannuation Fund,68657495890,Industry,27316.2,3.50,High,803.00,13.0,12.0,0.0,6.0
2018-06-30,MySuper,Generic,IAG & NRMA Superannuation Plan,58244115920,Corporate,1423.8,2.66,High,785.00,7.0,3.0,,20.0
2018-06-30,Active Balanced,Generic,Incitec Pivot Employees Superannuation Fund,68569795856,Retail,55.3,2.60,High,641.00,13.0,3.4,,8.4
2018-06-30,Intrust MySuper,Generic,Intrust Super Fund,65704511371,Industry,1903.5,5.00,Medium to high,683.00,10.0,5.0,,13.0
2018-06-30,IOOF MySuper,Generic,IOOF Portfolio Service Superannuation Fund,70815369818,Retail,3096.2,3.00,Medium to high,541.00,10.0,1.5,,2.0
2018-06-30,MySuper Balanced,Generic,Labour Union Co-Operative Retirement Fund,26382680883,Industry,5197.5,3.00,High,627.00,10.4,5.1,,11.9
2018-06-30,MySuper Balanced,Generic,legalsuper,60346078879,Industry,1869.0,3.00,High,552.60,12.0,2.0,,
2018-06-30,LESF MySuper,Generic,LESF Super,13704288646,Retail,145.8,3.00,High,665.00,,,,
2018-06-30,LGIASuper MySuper Lifecycle,Generic,LGIAsuper,23053121564,Public Sector,7220.5,,,,,,,
2018-06-30,Vision MySuper,Generic,Local Authorities Superannuation Fund,24496637884,Public Sector,3915.0,3.50,Medium to high,543.00,11.0,11.0,,5.0
2018-06-30,Active Super Lifestage Product,Generic,Local Government Super,28901371321,Public Sector,3681.7,,,,,,,
2018-06-30,Balanced Option_MySuper Compliant,Generic,Lutheran Super,93371348387,Corporate,265.7,3.00,Medium to high,511.00,10.0,10.0,,5.0
2018-06-30,Moderate investment option,Generic,Maritime Super,77455663441,Industry,978.9,4.00,Medium,618.00,7.0,4.0,,10.0
2018-06-30,Max Super Fund MySuper Plan,Generic,Max Super Fund,22508720840,Retail,22.3,4.00,Medium to high,564.00,12.0,,,
2018-06-30,MIESF MySuper,Generic,Meat Industry Employees Superannuation Fund,17317520544,Industry,798.7,2.50,Medium,366.00,22.0,10.0,,
2018-06-30,Balanced investment option (accumulation),Generic,Media Super,42574421650,Industry,3918.8,4.00,Medium to high,630.00,10.0,11.0,,8.0
2018-06-30,Mercer Santos MySuper,Large employer,Mercer Super Trust,19905422981,Retail,208.7,3.90,Medium to high,488.12,6.5,6.5,1.0,9.6
2018-06-30,Mercer SmartPath,Generic,Mercer Super Trust,19905422981,Retail,8005.5,,,,,,,
2018-06-30,Mercer WGSP MySuper,Large employer,Mercer Super Trust,19905422981,Retail,1815.5,,,,,,,
2018-06-30,Virgin Money MySuper,Material goodwill,Mercer Super Trust,19905422981,Retail,491.8,,,,,,,
2018-06-30,MySuper Balanced,Generic,Mercy Super,11789425178,Corporate,953.8,5.25,Medium,675.20,12.0,12.0,,5.0
2018-06-30,Default Lifecycle,Generic,Mine Superannuation Fund,16457520308,Industry,6532.8,,,,,,,
2018-06-30,MySuper,Generic,MLC Super Fund,70732426024,Retail,24228.0,4.20,Medium to high,678.00,5.0,2.0,,3.0
2018-06-30,NAB Staff MySuper,Large employer,MLC Super Fund,70732426024,Retail,2433.3,4.90,High,573.00,12.0,3.5,,4.0
2018-06-30,MyCatholicSuper,Generic,MyLifeMyMoney Superannuation Fund,50237896957,Industry,5823.3,,,,,,,
2018-06-30,Nationwide MySuper,Generic,Nationwide Superannuation Fund,15201768813,Industry,560.9,3.00,Medium to high,570.00,10.0,7.0,,5.0
2018-06-30,NESS MySuper,Generic,NESS Super,72229227691,Industry,633.3,3.00,Medium to high,557.00,14.0,1.0,,2.0
2018-06-30,Diversified (MySuper),Generic,NGS Super,73549180515,Industry,5795.0,3.00,Medium to high,665.00,10.0,10.0,,8.0
2018-06-30,ANZ Smart Choice Super,Generic,OnePath Masterfund,53789980697,Retail,10395.0,,,,,,,
2018-06-30,ANZ Smart Choice Super_For QBE Management Services PTY LTD and their employees,Large employer,OnePath Masterfund,53789980697,Retail,327.8,,,,,,,
2018-06-30,MySuper Passive Balanced,Generic,OneSuper,43905581638,Retail,41.4,2.00,Medium,536.00,4.0,,,
2018-06-30,Perpetual MySuper,Generic,Perpetual's Select Superannuation Fund,51068260563,Retail,219.5,3.00,High,721.25,6.0,0.0,0.0,12.0
2018-06-30,Pitcher Retirement Plan MySuper,Generic,Pitcher Retirement Plan,15828677472,Corporate,31.9,2.40,Medium,932.00,8.0,4.0,,
2018-06-30,MySuper,Generic,Prime Super,60562335823,Industry,3536.5,4.00,Medium to high,758.56,6.5,13.0,,0.0
2018-06-30,PSSap MySuper Balanced,Generic,Public Sector Superannuation Accumulation Plan,65127917725,Public Sector,10554.2,3.50,Medium to high,540.00,10.0,1.0,,15.0
2018-06-30,Glidepath,Generic,Qantas Superannuation Plan,41272198829,Corporate,1025.4,,,,,,,
2018-06-30,QIEC MySuper,Generic,Queensland Independent Education & Care Superannuation Trust,15549636673,Industry,1211.9,4.07,High,741.00,12.0,12.0,,7.0
2018-06-30,Balanced,Generic,Rei Super,76641658449,Industry,1243.2,4.50,Medium to high,675.80,11.0,3.0,,0.0
2018-06-30,REST Super,Generic,Retail Employees Superannuation Trust,62653671394,Industry,45830.4,4.80,Medium to high,407.20,9.0,8.0,1.0,10.0
2018-06-30,BT Super MySuper,Generic,Retirement Wrap,39827542991,Retail,11174.6,,,,,,,
2018-06-30,Westpac Group Plan MySuper,Large employer,Retirement Wrap,39827542991,Retail,2344.5,,,,,,,
2018-06-30,General Division,Generic,Russell Investments Master Trust,89384753567,Retail,2932.1,4.00,Medium to high,669.00,6.5,7.7,0.5,2.7
2018-06-30,smartMonday Lifecycle,Generic,Smart Future Trust,68964712340,Retail,1363.8,,,,,,,
2018-06-30,Balanced (MySuper),Generic,Spirit Super,74559365913,Industry,9964.0,3.75,Medium to high,488.20,8.5,15.0,,0.0
2018-06-30,Suncorp Lifestage Funds,Generic,SPSL Master Trust,98350952022,Retail,1816.1,,,,,,,
2018-06-30,Statewide MySuper,Generic,Statewide Superannuation Trust,54145196298,Industry,5065.4,3.50,High,491.11,10.0,10.0,,
2018-06-30,Sunsuper for Life,Generic,Sunsuper Superannuation Fund,98503137921,Industry,34788.5,,,,,,,
2018-06-30,Tasplan MySuper,Generic,Tasplan Superannuation Fund,14602032302,Industry,5410.6,,,,,,,
2018-06-30,Telstra Super MySuper,Generic,Telstra Superannuation Scheme,85502108833,Corporate,7003.7,,,,,,,
2018-06-30,Bendigo MySuper,Generic,The Bendigo Superannuation Plan,57526653420,Retail,248.5,,,,,,,
2018-06-30,MySuper MyLife,Generic,The Executive Superannuation Fund,60998717367,Retail,1148.5,2.60,High,747.26,2.0,2.0,,10.0
2018-06-30,VISSF Balanced Option (MySuper Product),Generic,The Victorian Independent Schools Superannuation Fund,37024873660,Industry,418.6,3.00,High,482.00,5.0,3.0,,
2018-06-30,MySuper Growth,Generic,Toyota Super,58208377062,Corporate,564.3,4.00,High,608.00,8.0,2.2,,9.2
2018-06-30,Balanced (MySuper),Generic,TWU Superannuation Fund,77343563307,Industry,4824.4,4.51,Medium to high,613.00,9.0,8.0,,6.0
2018-06-30,UniSuper Balanced,Generic,Unisuper,91385943850,Industry,18130.8,4.60,High,376.00,3.0,4.4,,
2018-06-30,Balanced,Generic,United Technologies Corporation Retirement Plan,33227241196,Retail,47.6,2.60,High,600.00,10.0,,,20.0
2018-06-30,Growth (MySuper),Generic,Victorian Superannuation Fund,85977964496,Public Sector,11945.0,4.60,Medium to high,643.00,8.0,6.0,,7.0
2018-06-30,My WA Super,Generic,WA Local Government Superannuation Plan,18159499614,Public Sector,1644.7,2.50,High,552.80,10.0,8.0,,12.0
2018-06-30,BT Business MySuper,Generic,Westpac Mastertrust - Superannuation Division,81236903448,Retail,4307.9,,,,,,,
2018-03-31,AMG MySuper,Generic,AMG Super,30099320583,Retail,42.9,2.42,High,560.00,10.0,,,
2018-03-31,AMP MySuper No.1,Generic,AMP Retirement Trust,73310248809,Retail,875.7,4.00,Medium to high,455.60,6.0,6.0,,0.0
2018-03-31,AMP MySuper No.3,Generic,AMP Super Fund,78421957449,Retail,1218.9,,,,,,,
2018-03-31,AFLPA & AFL Industry MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,122.0,,,,,,,
2018-03-31,AMP MySuper No.2,Generic,AMP Superannuation Savings Trust,76514770399,Retail,14039.2,,,,,,,
2018-03-31,Anglican National MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,135.1,,,,,,,
2018-03-31,Australia Post MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,199.9,,,,,,,
2018-03-31,Brookfield Australia MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,113.6,4.00,Medium to high,325.00,8.0,,,9.0
2018-03-31,CCA MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,361.1,,,,,,,
2018-03-31,Macquarie Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,357.3,3.50,Medium to high,580.00,,,,12.5
2018-03-31,Water Corporation MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,306.2,,,,,,,
2018-03-31,Woolworths Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,2898.6,4.50,Medium to high,575.50,6.5,3.0,,6.5
2018-03-31,ANZ Staff MySuper,Generic,ANZ Australian Staff Superannuation Scheme,83810127567,Corporate,2089.7,3.60,Medium to high,410.00,9.5,6.0,,16.0
2018-03-31,Asgard Employee MySuper,Generic,ASGARD Independence Plan Division Two,90194410365,Retail,2434.4,,,,,,,
2018-03-31,BALANCED,Generic,Australia Post Superannuation Scheme,42045077895,Public Sector,941.5,3.00,High,713.00,,,,30.0
2018-03-31,MySuper Balanced,Generic,Australian Catholic Superannuation and Retirement Fund,24680629023,Industry,4977.5,3.60,High,653.00,11.0,11.0,,22.0
2018-03-31,ADF MySuper,Generic,Australian Defence Force Superannuation Scheme,90302247344,Public Sector,90.0,3.50,Medium to high,540.00,10.0,1.0,,15.0
2018-03-31,Balanced (accumulation),Generic,Australian Ethical Retail Superannuation Fund,49633667743,Retail,762.6,3.50,Medium to high,622.00,10.0,5.0,,
2018-03-31,AMIST MySuper,Generic,Australian Meat Industry Superannuation Trust,28342064803,Industry,2030.3,2.00,Medium to high,379.00,15.0,10.0,,5.0
2018-03-31,QSuper Lifetime,Generic,Australian Retirement Trust,60905115063,Public Sector,37295.2,,,,,,,
2018-03-31,AustralianSuper MySuper,Generic,AustralianSuper,65714394898,Industry,86162.7,3.86,High,453.00,7.0,13.0,,0.0
2018-03-31,MySuper (Balanced),Generic,Austsafe Superannuation Fund,92398191503,Industry,2094.2,4.40,Medium to high,509.60,10.0,9.0,,10.0
2018-03-31,AvSuper Growth (MySuper),Generic,AvSuper Fund,84421446069,Public Sector,682.3,3.50,Medium to high,560.00,10.0,8.0,,1.0
2018-03-31,MySuper Lifecycle,Generic,Aware Super,53226460365,Public Sector,48154.0,,,,,,,
2018-03-31,BOC MySuper,Generic,Boc Gases Superannuation Fund,49620344668,Corporate,426.7,3.60,High,636.00,11.0,7.4,,7.4
2018-03-31,BUSSQ MySuper,Generic,Building Unions Superannuation Scheme (Queensland),85571332201,Industry,3253.3,4.00,Medium,553.00,13.0,12.5,4.0,
2018-03-31,CareSuper,Generic,Care Super,98172275725,Industry,10633.5,5.00,Medium to high,608.00,12.0,7.0,,
2018-03-31,Growth MySuper,Generic,CBH Superannuation Fund,84433159328,Corporate,11.0,3.75,High,370.00,15.0,,,0.0
2018-03-31,My Ethical Super,Generic,Christian Super,66628776348,Industry,835.0,3.32,High,711.00,10.0,3.7,,0.0
2018-03-31,Club Plus Super _ MySuper,Generic,Club Plus Superannuation Scheme,95275115088,Industry,2146.7,2.72,High,710.00,11.0,6.0,,16.0
2018-03-31,Club MySuper,Generic,Club Super,12737334298,Industry,456.3,3.71,High,821.00,11.0,10.0,,10.0
2018-03-31,FirstChoice Employer Super,Generic,Colonial First State FirstChoice Superannuation Trust,26458298557,Retail,8618.9,,,,,,,
2018-03-31,Combined Fund MySuper,Generic,Combined Super Fund,46921400504,Industry,400.0,3.20,Medium to high,525.00,10.0,7.0,,25.0
2018-03-31,Accumulate Plus Balanced,Generic,Commonwealth Bank Group Super,24248426878,Corporate,5465.4,2.70,High,403.00,8.1,7.2,,2.7
2018-03-31,Growth (Cbus MySuper),Generic,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Industry,38143.6,4.75,Medium to high,583.00,13.0,11.0,,5.0
2018-03-31,Active Balanced,Generic,DuluxGroup Employees Superannuation Fund,91132102426,Retail,42.5,2.70,High,596.00,13.0,3.4,,8.4
2018-03-31,Balanced,Generic,Elphinstone Group Superannuation Fund,77408077215,Corporate,52.7,0.50,Very high,810.00,1.8,,,
2018-03-31,EmPlus MySuper,Generic,EmPlus Superannuation Fund,18838658991,Retail,118.0,2.74,Medium to high,552.80,9.0,,,
2018-03-31,Balanced (MySuper),Generic,Energy Industries Superannuation Scheme-Pool A,22277243559,Public Sector,1316.0,2.50,Medium,370.00,5.0,4.0,,25.0
2018-03-31,MySuper,Generic,Energy Super,33761363685,Industry,2050.6,3.91,Medium to high,567.00,10.0,8.0,,10.0
2018-03-31,Equipsuper MySuper,Generic,equipsuper,33813823017,Industry,2427.5,3.72,Medium,463.00,10.0,3.0,,2.0
2018-03-31,RT Growth (MySuper),Large employer,equipsuper,33813823017,Industry,3158.5,4.20,High,665.50,10.0,6.0,,3.0
2018-03-31,Essential Super,Generic,Essential Super,56601925435,Retail,2904.3,,,,,,,
2018-03-31,First Super MySuper,Generic,First Super,56286625181,Industry,2506.3,3.50,Medium,566.03,10.0,10.0,,2.0
2018-03-31,Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Generic,Goldman Sachs & JBWere Superannuation Fund,55697537183,Corporate,360.0,4.00,Very high,750.00,,,,0.0
2018-03-31,Guild Retirement Fund (MySuper),Generic,Guild Retirement Fund,22599554834,Retail,1161.1,,,,,,,
2018-03-31,HESTA MySuper,Generic,HESTA,64971749321,Industry,36249.1,5.03,Medium to high,630.00,11.5,12.5,,
2018-03-31,Balanced option,Generic,HOSTPLUS Superannuation Fund,68657495890,Industry,25303.5,3.50,High,803.00,13.0,12.0,0.0,6.0
2018-03-31,MySuper,Generic,IAG & NRMA Superannuation Plan,58244115920,Corporate,1399.9,2.66,High,785.00,7.0,3.0,,20.0
2018-03-31,Active Balanced,Generic,Incitec Pivot Employees Superannuation Fund,68569795856,Retail,53.8,2.60,High,641.00,13.0,3.4,,8.4
2018-03-31,Intrust MySuper,Generic,Intrust Super Fund,65704511371,Industry,1829.8,5.00,Medium to high,683.00,10.0,5.0,,13.0
2018-03-31,IOOF MySuper,Generic,IOOF Portfolio Service Superannuation Fund,70815369818,Retail,2944.6,3.00,Medium to high,541.00,10.0,1.5,,2.0
2018-03-31,Kinetic Super _ Growth (MySuper),Generic,Kinetic Superannuation Fund,78984178687,Industry,3241.7,2.50,High,445.60,13.0,8.0,,
2018-03-31,MySuper Balanced,Generic,Labour Union Co-Operative Retirement Fund,26382680883,Industry,5007.7,3.00,High,627.00,10.0,5.0,,12.0
2018-03-31,MySuper Balanced,Generic,legalsuper,60346078879,Industry,1786.6,3.00,High,552.60,12.0,2.0,,
2018-03-31,LESF MySuper,Generic,LESF Super,13704288646,Retail,140.5,3.00,High,665.00,,,,
2018-03-31,LGIASuper MySuper Lifecycle,Generic,LGIAsuper,23053121564,Public Sector,7002.3,,,,,,,
2018-03-31,Vision MySuper,Generic,Local Authorities Superannuation Fund,24496637884,Public Sector,3800.0,3.50,Medium to high,543.00,11.0,11.0,,5.0
2018-03-31,Active Super Lifestage Product,Generic,Local Government Super,28901371321,Public Sector,3553.7,,,,,,,
2018-03-31,Balanced Option_MySuper Compliant,Generic,Lutheran Super,93371348387,Corporate,258.3,3.00,Medium to high,511.00,10.0,10.0,,5.0
2018-03-31,Moderate investment option,Generic,Maritime Super,77455663441,Industry,948.7,4.00,Medium,618.00,7.0,4.0,,10.0
2018-03-31,Max Super Fund MySuper Plan,Generic,Max Super Fund,22508720840,Retail,21.4,4.00,Medium to high,564.00,12.0,,,
2018-03-31,MIESF MySuper,Generic,Meat Industry Employees Superannuation Fund,17317520544,Industry,757.5,2.50,Medium,366.00,22.0,10.0,,
2018-03-31,Balanced investment option (accumulation),Generic,Media Super,42574421650,Industry,3787.9,4.00,Medium to high,760.00,10.0,11.0,,8.0
2018-03-31,Mercer Santos MySuper,Large employer,Mercer Super Trust,19905422981,Retail,207.5,3.90,Medium to high,488.12,6.5,6.5,1.0,9.6
2018-03-31,Mercer SmartPath,Generic,Mercer Super Trust,19905422981,Retail,7749.7,,,,,,,
2018-03-31,Mercer WGSP MySuper,Large employer,Mercer Super Trust,19905422981,Retail,1788.6,,,,,,,
2018-03-31,Virgin Money MySuper,Material goodwill,Mercer Super Trust,19905422981,Retail,476.7,,,,,,,
2018-03-31,MySuper Balanced,Generic,Mercy Super,11789425178,Corporate,927.1,5.25,Medium,675.20,12.0,12.0,,6.0
2018-03-31,Default Lifecycle,Generic,Mine Superannuation Fund,16457520308,Industry,6386.5,,,,,,,
2018-03-31,MySuper,Generic,MLC Super Fund,70732426024,Retail,23594.3,4.20,Medium to high,678.00,5.0,2.0,,3.0
2018-03-31,NAB Staff MySuper,Large employer,MLC Super Fund,70732426024,Retail,2346.3,4.90,High,573.00,12.0,3.5,,4.0
2018-03-31,MyCatholicSuper,Generic,MyLifeMyMoney Superannuation Fund,50237896957,Industry,5647.5,,,,,,,
2018-03-31,Nationwide MySuper,Generic,Nationwide Superannuation Fund,15201768813,Industry,567.5,3.00,Medium to high,570.00,10.0,7.0,,5.0
2018-03-31,NESS MySuper,Generic,NESS Super,72229227691,Industry,608.3,3.00,Medium to high,557.00,14.0,1.0,,2.0
2018-03-31,Diversified (MySuper),Generic,NGS Super,73549180515,Industry,5602.1,3.00,Medium to high,665.00,10.0,10.0,,8.0
2018-03-31,ANZ Smart Choice Super,Generic,OnePath Masterfund,53789980697,Retail,10075.5,,,,,,,
2018-03-31,ANZ Smart Choice Super_For QBE Management Services PTY LTD and their employees,Large employer,OnePath Masterfund,53789980697,Retail,316.2,,,,,,,
2018-03-31,MySuper Passive Balanced,Generic,OneSuper,43905581638,Retail,39.3,2.00,Medium,536.00,4.0,,,
2018-03-31,Perpetual MySuper,Generic,Perpetual's Select Superannuation Fund,51068260563,Retail,212.6,3.00,High,790.00,6.0,0.0,0.0,12.0
2018-03-31,Pitcher Retirement Plan MySuper,Generic,Pitcher Retirement Plan,15828677472,Corporate,30.5,2.40,Medium,932.00,8.0,4.0,,
2018-03-31,MySuper,Generic,Prime Super,60562335823,Industry,3297.4,4.00,Medium to high,758.56,6.5,13.0,,0.0
2018-03-31,PSSap MySuper Balanced,Generic,Public Sector Superannuation Accumulation Plan,65127917725,Public Sector,10096.5,3.50,Medium to high,540.00,10.0,1.0,,15.0
2018-03-31,Glidepath,Generic,Qantas Superannuation Plan,41272198829,Corporate,999.3,,,,,,,
2018-03-31,QIEC MySuper,Generic,Queensland Independent Education & Care Superannuation Trust,15549636673,Industry,1175.3,4.07,High,741.00,12.0,12.0,,7.0
2018-03-31,Balanced,Generic,Rei Super,76641658449,Industry,1211.2,4.50,Medium to high,675.80,11.0,3.0,,0.0
2018-03-31,REST Super,Generic,Retail Employees Superannuation Trust,62653671394,Industry,44012.2,4.80,Medium to high,407.20,9.0,8.0,1.0,10.0
2018-03-31,BT Super MySuper,Generic,Retirement Wrap,39827542991,Retail,10529.3,,,,,,,
2018-03-31,Westpac Group Plan MySuper,Large employer,Retirement Wrap,39827542991,Retail,2209.5,,,,,,,
2018-03-31,General Division,Generic,Russell Investments Master Trust,89384753567,Retail,2244.4,4.00,Medium to high,669.00,6.5,7.7,0.5,2.7
2018-03-31,smartMonday Lifecycle,Generic,Smart Future Trust,68964712340,Retail,1309.7,,,,,,,
2018-03-31,Balanced (MySuper),Generic,Spirit Super,74559365913,Industry,9570.3,3.75,Medium to high,488.20,8.5,15.0,,0.0
2018-03-31,Suncorp Lifestage Funds,Generic,SPSL Master Trust,98350952022,Retail,1751.3,,,,,,,
2018-03-31,Statewide MySuper,Generic,Statewide Superannuation Trust,54145196298,Industry,4841.1,3.50,High,491.11,10.0,10.0,,
2018-03-31,Sunsuper for Life,Generic,Sunsuper Superannuation Fund,98503137921,Industry,29708.4,,,,,,,
2018-03-31,Tasplan MySuper,Generic,Tasplan Superannuation Fund,14602032302,Industry,5192.8,,,,,,,
2018-03-31,Telstra Super MySuper,Generic,Telstra Superannuation Scheme,85502108833,Corporate,6801.9,,,,,,,
